id_objeto,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,material_original,url_objeto,url_imagen,motivo_filtrado,categoria_revision_v2,motivo_revision_v2,decision_auditoria,motivo_auditoria,observacion_auditoria,decision_sugerida
316955,Cap,Peruvian,,Textiles-Costumes,Hat,Camelid hair,https://www.metmuseum.org/art/collection/search/316955,https://images.metmuseum.org/CRDImages/ao/original/DP-30089-001.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",revision_prenda_accesorio,prenda/accesorio textil; revisar si aporta patrón o iconografía,,,,revisar_para_secundario
316931,Headband,Peruvian,,Textiles-Woven,Headband,Camelid hair,https://www.metmuseum.org/art/collection/search/316931,https://images.metmuseum.org/CRDImages/ao/original/1994.35.106_a.JPG,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['headband'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['headband'] | título contiene términos débiles asociados a fragmentos o paneles: ['band'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",revision_formato_longitudinal,formato longitudinal; revisar si aporta motivos útiles,,,,revisar_para_secundario_o_principal
316894,Sash Fragment with Fringe,Peruvian,,Textiles-Woven,Sash fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/316894,https://images.metmuseum.org/CRDImages/ao/original/DP18602.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['sash'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['sash'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,,,,revisar_para_corpus_principal
316961,Feathered Cap,Peruvian,,Textiles-Featherwork,Hat,"Camelid hair, feathers",https://www.metmuseum.org/art/collection/search/316961,https://images.metmuseum.org/CRDImages/ao/original/DP-30088-001.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",secundario_featherwork,textil con plumas; conservar en corpus secundario,,,,pasar_a_corpus_secundario
316945,Border Fragment,Paracas,,Textiles-Woven,Border fragment,"Cotton, camelid hair",https://www.metmuseum.org/art/collection/search/316945,https://images.metmuseum.org/CRDImages/ao/original/DP-28474-001.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment', 'border'] | evidencia cultural/geográfica andina: ['peru', 'paracas']",candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,,,,revisar_para_corpus_principal
308287,Tabard,Chimú,,Feathers-Costumes,Tabard,"Cotton, feathers, plant fiber",https://www.metmuseum.org/art/collection/search/308287,https://images.metmuseum.org/CRDImages/ao/original/DP-41559-001.jpg,"material contiene fibras o soporte textil: ['cotton', 'fiber'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",secundario_featherwork,textil con plumas; conservar en corpus secundario,,,,pasar_a_corpus_secundario
309528,Band,Inca,,Textiles-Woven,Band,Camelid hair,https://www.metmuseum.org/art/collection/search/309528,https://images.metmuseum.org/CRDImages/ao/original/189514.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['band'] | evidencia cultural/geográfica andina: ['peru', 'inca']",revision_formato_longitudinal,formato longitudinal; revisar si aporta motivos útiles,,,,revisar_para_secundario_o_principal
314616,Woven Sling Shot,Inca,,Textiles-Woven,Sling shot,Camelid hair,https://www.metmuseum.org/art/collection/search/314616,https://images.metmuseum.org/CRDImages/ao/original/250582.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['woven'] | evidencia cultural/geográfica andina: ['peru', 'inca']",secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,,,,pasar_a_corpus_secundario
316928,Sling,Inca (?),,Textiles-Woven,Sling,Camelid hair,https://www.metmuseum.org/art/collection/search/316928,https://images.metmuseum.org/CRDImages/ao/original/vs1994.35.103a.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'inca']",secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,,,,pasar_a_corpus_secundario
314617,Woven Sling Shot,Inca,,Textiles-Woven,Sling shot,Camelid hair,https://www.metmuseum.org/art/collection/search/314617,https://images.metmuseum.org/CRDImages/ao/original/250583.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['woven'] | evidencia cultural/geográfica andina: ['peru', 'inca']",secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,,,,pasar_a_corpus_secundario
