source,institution,object_id,title,culture,period,object_date,country,region,subregion,locale,classification,department,medium,dimensions,credit_line,repository,object_url,primary_image,primary_image_small,is_public_domain,rights_and_reproduction,artist_display_name,artist_culture,tags,query_term
met,The Metropolitan Museum of Art,312678,Feathered Panel,Wari,,600–900 CE,Peru,South Coast,,,Textiles-Featherwork,The Michael C. Rockefeller Wing,"Feathers on cotton, camelid hair",H. 33 1/8 × W. 87 1/2 in. (84.14 × 222.25 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312678,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-013.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-013.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,312680,Feathered Panel,Wari,,600–900 CE,Peru,South Coast,,,Textiles-Featherwork,The Michael C. Rockefeller Wing,"Feathers on cotton, camelid hair",H. 29 1/4 × W. 83 5/8 in. (74.3 × 212.41 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312680,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-006.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-006.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,312681,Feathered Panel,Wari,,600–900 CE,Peru,South Coast,,,Textiles-Featherwork,The Michael C. Rockefeller Wing,"Feathers on cotton, camelid hair",H. 28 3/4 × W. 83 1/2 in. (73.03 × 212.09 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312681,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-007.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-007.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,312679,Feathered Panel,Wari,,600–900 CE,Peru,South Coast,,,Textiles-Featherwork,The Michael C. Rockefeller Wing,"Feathers on cotton, camelid hair",H. 31 1/2 x W. 85 1/4 in. (80 x 216.5 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312679,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-012.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-012.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,312674,Feathered Panel,Wari,,600–900 CE,Peru,South Coast,,,Textiles-Featherwork,The Michael C. Rockefeller Wing,"Feathers on cotton, camelid fiber",H. 33 3/4 × W. 6 in. (85.73 × 218.44 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312674,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-011.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-011.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,312682,Feathered Panel,Wari,,600–900 CE,Peru,South Coast,,,Textiles-Featherwork,The Michael C. Rockefeller Wing,"Feathers on cotton, camelid hair",H. 28 1/2 × W. 83 1/4 in. (72.39 × 211.46 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312682,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-010.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-010.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,892170,The Bride,,,1962,,,,,Textiles,Modern and Contemporary Art,"Linen, feathers, wood",12 ft. 2 in. × 19 3/4 in. (370.8 × 50.2 cm),"Purchase, Lenore G. Tawney Foundation and Lila Acheson Wallace Gifts, 2023","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/892170,,,False,Lenore G. Tawney Foundation – lenoretawney.org,Lenore Tawney,,,Andean textile
met,The Metropolitan Museum of Art,309959,Funerary mask,Lambayeque (Sicán),,900–1100 CE,Peru,North Coast,,,Metalwork-Gold,The Michael C. Rockefeller Wing,"Gold, silver-copper alloy, cinnabar",H. 11 1/2 in. × W. 19 1/2 in. × D. 4 in. (29.2 × 49.5 × 10.2 cm),"Gift and Bequest of Alice K. Bache, 1974, 1977","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/309959,https://images.metmuseum.org/CRDImages/ao/original/DP-42545-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-42545-001.jpg,True,,Lambayeque (Sicán) artist(s),,,Andean textile
met,The Metropolitan Museum of Art,317793,Bottle in the shape of a feline,Wari,,600–900 CE,Peru,,,,Ceramics-Containers,The Michael C. Rockefeller Wing,"Ceramic, slip",H. 8 × W. 2 3/4 × D. 4 1/2 in. (20.3 × 7 × 11.4 cm),"Purchase, Arthur M. Bullowa Bequest and Rogers Fund, 1996","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/317793,https://images.metmuseum.org/CRDImages/ao/original/DP-23628-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-23628-001.jpg,True,,Wari artist(s),,,Andean textile
met,The Metropolitan Museum of Art,308121,Four-Cornered Hat,Wari,,7th–9th century,Peru,,,,Textiles-Woven,The Michael C. Rockefeller Wing,"Camelid hair, cotton",H. 7 in. × Circum. 22 1/2 in. (17.8 × 57.2 cm),"Gift of George D. Pratt, 1933","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/308121,https://images.metmuseum.org/CRDImages/ao/original/DP-29599-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29599-001.jpg,True,,,,,Andean textile
