id_fuente,corpus_actual,corpus_final,decision_revision,motivo_revision,observaciones_revision,revisor,fecha_revision,titulo_original,titulo_es_sugerido,cultura,fecha_objeto,procedencia,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,estado_curacion,destino_curacion,motivo_curacion,url_objeto,url_imagen,ruta_imagen_local,licencia,origen_curacion
316916,principal,principal,mantener,,,,,Sash Fragments,,Peruvian,,,,,Cotton,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/316916,https://images.metmuseum.org/CRDImages/ao/original/DP18678_1994.35.91.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
316915,principal,principal,mantener,,,,,Sash Fragments,,Peruvian,,,,,Cotton,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/316915,"https://images.metmuseum.org/CRDImages/ao/original/DP18677_1994.35.90A,B.jpg",,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308084,principal,principal,mantener,,,,,Tapestry Border Fragment,,Peruvian,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308084,https://images.metmuseum.org/CRDImages/ao/original/97502.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
316894,principal,principal,mantener,,,,,Sash Fragment with Fringe,,Peruvian,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/316894,https://images.metmuseum.org/CRDImages/ao/original/DP18602.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
316945,principal,principal,mantener,,,,,Border Fragment,,Paracas,,,,,"Cotton, camelid hair",,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/316945,https://images.metmuseum.org/CRDImages/ao/original/DP-28474-001.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
314528,principal,principal,mantener,,,,,Tunic with Diamond Band,,Inca,,,,,"Camelid hair, cotton",,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/314528,https://images.metmuseum.org/CRDImages/ao/original/DP107698.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
315708,principal,principal,mantener,,,,,Band Fragment,,Inca,,,,,"Cotton, camelid hair",,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/315708,https://images.metmuseum.org/CRDImages/ao/original/DP18703.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
313324,principal,principal,mantener,,,,,Sleeveless Tunic,,Inca,,,,,"Cotton, camelid hair",,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/313324,https://images.metmuseum.org/CRDImages/ao/original/1979.206.1131_a.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308046,principal,principal,mantener,,,,,Embroidered Border Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308046,https://images.metmuseum.org/CRDImages/ao/original/DP18569.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
310511,principal,principal,mantener,,,,,Mantle Fragment,,Paracas,,,,,"Cotton, pigment",,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/310511,https://images.metmuseum.org/CRDImages/ao/original/SC207345.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
