grupo_revision,id_objeto,titulo_original,cultura,clasificacion_original,material_original,puntaje_filtro,revision_visual,accion_sugerida,observaciones_revision,titulo_es_sugerido,periodo,pais,region,nombre_objeto_original,decision_filtro,estado_filtrado,motivo_filtrado,url_objeto,url_imagen,url_imagen_miniatura
aceptado_por_filtro,312680,Feathered Panel,Wari,Textiles-Featherwork,"Feathers on cotton, camelid hair",11,,,,Panel textil,,Peru,South Coast,Panel,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",https://www.metmuseum.org/art/collection/search/312680,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-006.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-006.jpg
aceptado_por_filtro,312681,Feathered Panel,Wari,Textiles-Featherwork,"Feathers on cotton, camelid hair",11,,,,Panel textil,,Peru,South Coast,Panel,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",https://www.metmuseum.org/art/collection/search/312681,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-007.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-007.jpg
aceptado_por_filtro,312679,Feathered Panel,Wari,Textiles-Featherwork,"Feathers on cotton, camelid hair",11,,,,Panel textil,,Peru,South Coast,Panel,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",https://www.metmuseum.org/art/collection/search/312679,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-012.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-012.jpg
aceptado_por_filtro,312674,Feathered Panel,Wari,Textiles-Featherwork,"Feathers on cotton, camelid fiber",11,,,,Panel textil,,Peru,South Coast,Panel,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid', 'fiber'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",https://www.metmuseum.org/art/collection/search/312674,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-011.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-011.jpg
aceptado_por_filtro,312682,Feathered Panel,Wari,Textiles-Featherwork,"Feathers on cotton, camelid hair",11,,,,Panel textil,,Peru,South Coast,Panel,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['panel'] | evidencia cultural/geográfica andina: ['peru', 'wari']",https://www.metmuseum.org/art/collection/search/312682,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-010.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-010.jpg
aceptado_por_filtro,308121,Four-Cornered Hat,Wari,Textiles-Woven,"Camelid hair, cotton",10,,,,Objeto textil,,Peru,,Hat,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | evidencia cultural/geográfica andina: ['peru', 'wari']",https://www.metmuseum.org/art/collection/search/308121,https://images.metmuseum.org/CRDImages/ao/original/DP-29599-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29599-001.jpg
aceptado_por_filtro,315772,Headband with ornamental tassels,Nasca,Textiles-Woven,Camelid hair,10,,,,Banda o vincha textil,,Peru,,Tassels,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['headband'] | título contiene términos débiles asociados a fragmentos o paneles: ['band'] | evidencia cultural/geográfica andina: ['peru', 'nasca'] | título sugiere objeto no textil: ['ornament']",https://www.metmuseum.org/art/collection/search/315772,https://images.metmuseum.org/CRDImages/ao/original/DP-26542-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-26542-001.jpg
aceptado_por_filtro,316913,Chuspa (coca bag),Moche,Textiles-Woven,"Cotton, camelid hair, and dye",17,,,,Bolsa textil,,Peru,,Bag,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['bag'] | evidencia cultural/geográfica andina: ['peru', 'moche']",https://www.metmuseum.org/art/collection/search/316913,https://images.metmuseum.org/CRDImages/ao/original/DP-41567-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-41567-001.jpg
aceptado_por_filtro,313148,Weaving Basket,Chancay,Textiles-Implements,"Cane, shell, bone, fiber, camelid hair, wood, pigment, metal, stone",13,,,,Objeto textil,,Peru,,Basket with weaving implements,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['weaving'] | material contiene fibras o soporte textil: ['camelid', 'fiber'] | título contiene términos textiles: ['weaving'] | evidencia cultural/geográfica andina: ['peru', 'chancay'] | material sugiere objeto no textil: ['metal', 'stone', 'wood', 'bone', 'shell']",https://www.metmuseum.org/art/collection/search/313148,https://images.metmuseum.org/CRDImages/ao/original/1979.206.950.1_a.JPG,https://images.metmuseum.org/CRDImages/ao/web-large/1979.206.950.1_a.JPG
aceptado_por_filtro,314894,Square Cloth with Feathered Border,Chimú,Textiles-Featherwork,"Feathers, camelid hair, cotton, wool",14,,,,Objeto textil,,Peru,,Panel,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton', 'wool', 'camelid'] | título contiene términos textiles: ['cloth'] | título contiene términos débiles asociados a fragmentos o paneles: ['border'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",https://www.metmuseum.org/art/collection/search/314894,https://images.metmuseum.org/CRDImages/ao/original/DP230211.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP230211.jpg
