fuente,id_fuente,id_registro,institucion,titulo_original,titulo_es_sugerido,cultura,periodo,fecha_objeto,procedencia,clasificacion_original,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,descripcion,url_objeto,url_imagen,ruta_imagen_local,licencia,estado_curacion,destino_curacion,origen_curacion,motivo_curacion,decision_filtro,puntaje_filtro,motivo_filtrado,decision_auditoria,motivo_auditoria,observacion_auditoria,posible_duplicado_suave,estado_metadata,estado_anotacion
met,316983,MET-316983,The Metropolitan Museum of Art,Four-Cornered Hat,,Tiwanaku,,,,Textiles-Costumes,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/316983,https://images.metmuseum.org/CRDImages/ao/original/DP-29592-001.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,prenda_tridimensional_util,,,,pasar_a_corpus_secundario,prenda_tridimensional_util,,,,
met,316981,MET-316981,The Metropolitan Museum of Art,Four-Cornered Hat,,Tiwanaku,,,,Textiles-Costumes,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/316981,https://images.metmuseum.org/CRDImages/ao/original/DP-29590-001.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,prenda_tridimensional_util,,,,pasar_a_corpus_secundario,prenda_tridimensional_util,,,,
met,316342,MET-316342,The Metropolitan Museum of Art,Four-Cornered Hat,,Wari,,,,Textiles-Costumes,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/316342,https://images.metmuseum.org/CRDImages/ao/original/DP-29624-001.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,prenda_tridimensional_util,,,,pasar_a_corpus_secundario,prenda_tridimensional_util,,,,
met,316727,MET-316727,The Metropolitan Museum of Art,Four-Cornered Hat,,Wari,,,,Textiles-Costumes,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/316727,https://images.metmuseum.org/CRDImages/ao/original/DP-29608-001.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,prenda_tridimensional_util,,,,pasar_a_corpus_secundario,prenda_tridimensional_util,,,,
met,314620,MET-314620,The Metropolitan Museum of Art,Four-Cornered Hat,,Wari,,,,Textiles-Costumes,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/314620,https://images.metmuseum.org/CRDImages/ao/original/DP-29602-001.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,prenda_tridimensional_util,,,,pasar_a_corpus_secundario,prenda_tridimensional_util,,,,
met,316968,MET-316968,The Metropolitan Museum of Art,Four-Cornered Hat,,Wari,,,,Textiles-Costumes,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/316968,https://images.metmuseum.org/CRDImages/ao/original/DP-29615-001.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,prenda_tridimensional_util,,,,pasar_a_corpus_secundario,prenda_tridimensional_util,,,,
met,316972,MET-316972,The Metropolitan Museum of Art,Four-Cornered Hat,,Wari,,,,Textiles-Costumes,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/316972,https://images.metmuseum.org/CRDImages/ao/original/DP-29619-001.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,prenda_tridimensional_util,,,,pasar_a_corpus_secundario,prenda_tridimensional_util,,,,
met,316975,MET-316975,The Metropolitan Museum of Art,Four-Cornered Hat,,Wari,,,,Textiles-Costumes,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/316975,https://images.metmuseum.org/CRDImages/ao/original/DP-29627-001.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,prenda_tridimensional_util,,,,pasar_a_corpus_secundario,prenda_tridimensional_util,,,,
met,316964,MET-316964,The Metropolitan Museum of Art,Four-Cornered Hat,,Wari,,,,Textiles-Costumes,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/316964,https://images.metmuseum.org/CRDImages/ao/original/DP-29611-001.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,prenda_tridimensional_util,,,,pasar_a_corpus_secundario,prenda_tridimensional_util,,,,
met,316977,MET-316977,The Metropolitan Museum of Art,Four-Cornered Hat,,Wari,,,,Textiles-Costumes,,,Camelid hair,,,,https://www.metmuseum.org/art/collection/search/316977,https://images.metmuseum.org/CRDImages/ao/original/DP-29629-001.jpg,,Dominio público / Open Access según metadata de The Met,corpus_secundario,secundario,auditoria_aceptados_no_piloto,prenda_tridimensional_util,,,,pasar_a_corpus_secundario,prenda_tridimensional_util,,,,
