fuente,id_objeto,numero_acceso,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,tecnica_original,material_original,descripcion_original,url_objeto,url_imagen,decision_auditoria,motivo_auditoria,observacion_auditoria,incluir_en_corpus,subconjunto_corpus,calidad_visual,tipo_objeto_manual,cultura_manual,periodo_manual,notas_iconograficas,notas_tecnicas,revisor,fecha_revision
Cleveland Museum of Art,169188,,Tunic and Band,"Peru, Chimú or Chimú-Inka, 12th-16th century",1100–1532,Textile,Textile,white cotton; plain weave with supplementary weft brocading,,,https://clevelandart.org/art/2011.111,https://openaccess-cdn.clevelandart.org/2011.111/2011.111_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, Chimú or Chimú-Inka, 12th-16th century",1100–1532,,,,
Cleveland Museum of Art,169190,,Band,"Peru, Chimú or Chimú-Inka, 12th-16th century",1100–1532,Textile,Textile,white cotton; plain weave,,,https://clevelandart.org/art/2011.111.2,https://openaccess-cdn.clevelandart.org/2011.111.2/2011.111.2_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Peru, Chimú or Chimú-Inka, 12th-16th century",1100–1532,,,,
Cleveland Museum of Art,171611,,Band (Headband?),"Central Andes, Moche-Wari Style, mid-7th to mid-9th century",c. 650–850,Textile,Textile,Camelid fiber (alpaca; weft) and cotton (warp); tapestry weave,,,https://clevelandart.org/art/2014.389,https://openaccess-cdn.clevelandart.org/2014.389/2014.389_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Central Andes, Moche-Wari Style, mid-7th to mid-9th century",c. 650–850,,,,
Cleveland Museum of Art,294034,,Textile Fragment with Cotton Goddess,"Andes, south coast, Ica Valley?, Chavín style",800–500 BCE,Textile,Textile,"Cotton, pigments",,,https://clevelandart.org/art/2017.56,https://openaccess-cdn.clevelandart.org/2017.56/2017.56_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Andes, south coast, Ica Valley?, Chavín style",800–500 BCE,,,,
Cleveland Museum of Art,294068,,Head Cloth,"Central Andes, central coast, Chancay people",1000–1460s,Textile,Textile,Cotton,,,https://clevelandart.org/art/2017.60,https://openaccess-cdn.clevelandart.org/2017.60/2017.60_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Central Andes, central coast, Chancay people",1000–1460s,,,,
Cleveland Museum of Art,97613,,Sarong,"Indonesia, Java, North Coast, mid-19th century",mid-1800s,Textile,Textile,"Cotton: plain weave, wax-resist dyed (batik)",,,https://clevelandart.org/art/1917.26,https://openaccess-cdn.clevelandart.org/1917.26/1917.26_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Indonesia, Java, North Coast, mid-19th century",mid-1800s,,,,
Cleveland Museum of Art,97626,,Sarong,"Indonesia, Java, North Coast, Indramaju ?, early 20th century",early 1900s,Textile,Textile,batik; cotton,,,https://clevelandart.org/art/1917.27,https://openaccess-cdn.clevelandart.org/1917.27/1917.27_web.jpg,descartar_revision_v2,mantener,,no,descartados,,Textile,"Indonesia, Java, North Coast, Indramaju ?, early 20th century",early 1900s,,,,
Cleveland Museum of Art,126274,,Spindle,"Peru, South Coast, Nasca",c. 1–399 CE,no_textil,no_textil,wood with carved clay whorl,,,https://clevelandart.org/art/1948.483,https://openaccess-cdn.clevelandart.org/1948.483/1948.483_web.jpg,descartar_revision_v2,herramienta_textil,"Huso/spindle: herramienta asociada al tejido, no pieza textil analizable como superficie visual.",no,descartados,,no_textil,"Peru, South Coast, Nasca",c. 1–399 CE,,,auto,
Cleveland Museum of Art,126275,,Spindle,"Peru, South Coast, Nasca",c. 1–399 CE,no_textil,no_textil,wood with carved clay whorl,,,https://clevelandart.org/art/1948.484,https://openaccess-cdn.clevelandart.org/1948.484/1948.484_web.jpg,descartar_revision_v2,herramienta_textil,"Huso/spindle: herramienta asociada al tejido, no pieza textil analizable como superficie visual.",no,descartados,,no_textil,"Peru, South Coast, Nasca",c. 1–399 CE,,,auto,
Cleveland Museum of Art,126276,,Spindle,"Peru, South Coast, Wari Culture, Tiwanaku Style, 7th-10th Century",c. 600–1000,no_textil,no_textil,wood with carved clay whorl,,,https://clevelandart.org/art/1948.485,https://openaccess-cdn.clevelandart.org/1948.485/1948.485_web.jpg,descartar_revision_v2,herramienta_textil,"Huso/spindle: herramienta asociada al tejido, no pieza textil analizable como superficie visual.",no,descartados,,no_textil,"Peru, South Coast, Wari Culture, Tiwanaku Style, 7th-10th Century",c. 600–1000,,,auto,
Cleveland Museum of Art,150514,,Ceremonial Garment (Naaxein) (Chilkat Blanket),"America, Native North American, Northwest Coast, Tlingit, late 19th century",late 1800s,no_textil,no_textil,weft twining: cedar bark wrapped with mountain goat hair,,,https://clevelandart.org/art/1981.69,https://openaccess-cdn.clevelandart.org/1981.69/1981.69_web.jpg,descartar_revision_v2,fuera_alcance,"Falso positivo fuera del ambito andino: America, Native North American, Northwest Coast, Tlingit, late 19th century",no,descartados,,no_textil,"America, Native North American, Northwest Coast, Tlingit, late 19th century",late 1800s,,,auto,
Cleveland Museum of Art,95651,,Curtain,"Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",1600s–1700s,no_textil,no_textil,"Silk, linen, metal, and dye",,,https://clevelandart.org/art/1916.1361,https://openaccess-cdn.clevelandart.org/1916.1361/1916.1361_web.jpg,descartar_revision_v2,fuera_alcance,"Falso positivo fuera del ambito andino: Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",no,descartados,,no_textil,"Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",1600s–1700s,,,auto,
Cleveland Museum of Art,95652,,Curtain (one of a pair),"Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",1600s–1700s,no_textil,no_textil,"Silk, linen, metal, and dye",,,https://clevelandart.org/art/1916.1361.a,https://openaccess-cdn.clevelandart.org/1916.1361.a/1916.1361.a_web.jpg,descartar_revision_v2,fuera_alcance,"Falso positivo fuera del ambito andino: Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",no,descartados,,no_textil,"Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",1600s–1700s,,,auto,
Cleveland Museum of Art,95653,,Curtain (one of a pair),"Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",1600s–1700s,no_textil,no_textil,"Silk, linen, metal, and dye",,,https://clevelandart.org/art/1916.1361.b,https://openaccess-cdn.clevelandart.org/1916.1361.b/1916.1361.b_web.jpg,descartar_revision_v2,fuera_alcance,"Falso positivo fuera del ambito andino: Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",no,descartados,,no_textil,"Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",1600s–1700s,,,auto,
Cleveland Museum of Art,97809,,Berry Basket,"Northwest Coast, coastal, Salish, late 19th century",1890,no_textil,no_textil,"woven, imbricated",,,https://clevelandart.org/art/1917.428,https://openaccess-cdn.clevelandart.org/1917.428/1917.428_web.jpg,descartar_revision_v2,fuera_alcance,"Falso positivo fuera del ambito andino: Northwest Coast, coastal, Salish, late 19th century",no,descartados,,no_textil,"Northwest Coast, coastal, Salish, late 19th century",1890,,,auto,
