fuente,id_objeto,numero_acceso,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,tecnica_original,material_original,descripcion_original,url_objeto,url_imagen,terminos_andinos_auto,terminos_textiles_auto,decision_sugerida,decision_auditoria,motivo_auditoria,observacion_auditoria,incluir_en_corpus,subconjunto_corpus,calidad_visual,tipo_objeto_manual,cultura_manual,periodo_manual,notas_iconograficas,notas_tecnicas,revisor,fecha_revision
Cleveland Museum of Art,294068,2017.60,Head Cloth,"Central Andes, central coast, Chancay people",1000–1460s,Textile,Textile,Cotton,,"This tie-dyed panel was probably worn as a head cloth, a common article of women’s wear among the Chancay people of Peru’s central coast. Its colors are reminiscent of a deep twilight, when the sky turns a luminous, dark blue and a shimmer of orange light appears on the horizon. It is not known whether the repeated squares have symbolic significance.",https://clevelandart.org/art/2017.60,https://openaccess-cdn.clevelandart.org/2017.60/2017.60_web.jpg,andes; chancay; peru,cloth; cotton; textile,revisar_candidato,descartar_baja_calidad,,,no,descartado,,,,,,,,
Cleveland Museum of Art,97613,1917.26,Sarong,"Indonesia, Java, North Coast, mid-19th century",mid-1800s,Textile,Textile,"Cotton: plain weave, wax-resist dyed (batik)",,"Batiks made in the North Coast region of Java, specifically in Pekalongan, were influenced by both Indian and European motifs due to the Dutch presence in Indonesia. In this sarong we see a mixture of Indian and European flowers including jasmine, lilac, and daffodil. Batik is a wax-resist dyeing technique used throughout Java. Hot wax is applied with a tool known as a canting and a design is hand drawn with incredible skill. This sarong was then dyed with indigo, a well sought after and culturally important natural dye. Areas on the fabric with wax will not accept the indigo dye, hence the term wax-resist.",https://clevelandart.org/art/1917.26,https://openaccess-cdn.clevelandart.org/1917.26/1917.26_web.jpg,north coast,cotton; textile,revisar_candidato,descartar_no_andino,,,no,descartado,,,,,,,,
Cleveland Museum of Art,97626,1917.27,Sarong,"Indonesia, Java, North Coast, Indramaju ?, early 20th century",early 1900s,Textile,Textile,batik; cotton,,"Batiks made along the northern coast of Java were influenced not only by Chinese motifs and designs but also European, as a result of the Dutch presence in Indonesia from the sixteenth to the twentieth centuries. In this sarong, European influence is clearly evident in the sprays of flowers and types of birds represented. Batiks dyed only in indigo were a specialty of Indramaju. Shading and contrast are skillfully achieved through different intensities of blue, through the character and thickness of line, and by the use of tiny dots.",https://clevelandart.org/art/1917.27,https://openaccess-cdn.clevelandart.org/1917.27/1917.27_web.jpg,north coast,cotton; textile,revisar_candidato,descartar_no_andino,,,no,descartado,,,,,,,,
Cleveland Museum of Art,126274,1948.483,Spindle,"Peru, South Coast, Nasca",c. 1–399 CE,Spindle Whorl,Spindle Whorl,wood with carved clay whorl,,,https://clevelandart.org/art/1948.483,https://openaccess-cdn.clevelandart.org/1948.483/1948.483_web.jpg,nasca; peru; south coast,,excluded_no_textile_evidence,descartar_no_textil,herramienta_textil,"Huso/spindle: herramienta asociada al tejido, no pieza textil analizable como superficie visual.",no,descartado,no_aplica,no_textil,,,,,auto,
Cleveland Museum of Art,126275,1948.484,Spindle,"Peru, South Coast, Nasca",c. 1–399 CE,Spindle Whorl,Spindle Whorl,wood with carved clay whorl,,,https://clevelandart.org/art/1948.484,https://openaccess-cdn.clevelandart.org/1948.484/1948.484_web.jpg,nasca; peru; south coast,,excluded_no_textile_evidence,descartar_no_textil,herramienta_textil,"Huso/spindle: herramienta asociada al tejido, no pieza textil analizable como superficie visual.",no,descartado,no_aplica,no_textil,,,,,auto,
Cleveland Museum of Art,126276,1948.485,Spindle,"Peru, South Coast, Wari Culture, Tiwanaku Style, 7th-10th Century",c. 600–1000,Spindle Whorl,Spindle Whorl,wood with carved clay whorl,,,https://clevelandart.org/art/1948.485,https://openaccess-cdn.clevelandart.org/1948.485/1948.485_web.jpg,peru; south coast; tiwanaku; wari,,excluded_no_textile_evidence,descartar_no_textil,herramienta_textil,"Huso/spindle: herramienta asociada al tejido, no pieza textil analizable como superficie visual.",no,descartado,no_aplica,no_textil,,,,,auto,
Cleveland Museum of Art,150514,1981.69,Ceremonial Garment (Naaxein) (Chilkat Blanket),"America, Native North American, Northwest Coast, Tlingit, late 19th century",late 1800s,Textile,Textile,weft twining: cedar bark wrapped with mountain goat hair,,,https://clevelandart.org/art/1981.69,https://openaccess-cdn.clevelandart.org/1981.69/1981.69_web.jpg,,garment; textile,excluded_no_andean_evidence,descartar_no_andino,fuera_alcance,"Falso positivo fuera del ambito andino: America, Native North American, Northwest Coast, Tlingit, late 19th century",no,descartado,no_aplica,no_textil,,,,,auto,
Cleveland Museum of Art,95651,1916.1361,Curtain,"Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",1600s–1700s,Embroidery,Embroidery,"Silk, linen, metal, and dye",,"This pair of curtains displays colorful silk bands with woven geometric motifs, and cream bands with gold-embroidered plants, birds, six-pointed stars, and the <em>khamsah</em> (خمسة), an open five-fingered hand. Birds and the tree of life were popular good luck or fertility symbols linked to marriage. The cosmopolitan motifs would have resonated with Jews, Muslims, and Christians alike, reflecting its creation on multiethnic and multireligious Djerba, an island off the Tunisian coast. There, both goldsmithing and gold thread embroidery were done by Jewish artisans (male and female, respectively). The fine materials suggest they once hung in a wealthy home or for special occasions; interior wall hangings were typically made from rough wool.",https://clevelandart.org/art/1916.1361,https://openaccess-cdn.clevelandart.org/1916.1361/1916.1361_web.jpg,,wool; woven,excluded_no_andean_evidence,descartar_no_andino,fuera_alcance,"Falso positivo fuera del ambito andino: Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",no,descartado,no_aplica,no_textil,,,,,auto,
Cleveland Museum of Art,95652,1916.1361.a,Curtain (one of a pair),"Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",1600s–1700s,Embroidery,Embroidery,"Silk, linen, metal, and dye",,"One of a pair, this curtain displays colorful silk bands with woven geometric motifs, and cream bands with gold-embroidered plants, birds, six-pointed stars, and the <em>khamsah</em> (خمسة), an open five-fingered hand. Birds and the tree of life were popular good luck or fertility symbols linked to marriage. This curtain’s cosmopolitan motifs would have resonated with Jews, Muslims, and Christians alike, reflecting its creation on multiethnic and multireligious Djerba, an island off the Tunisian coast. There, both goldsmithing and gold thread embroidery were done by Jewish artisans (male and female, respectively). The fine materials suggest this curtain once hung in a wealthy home or for special occasions; interior wall hangings were typically made from rough wool.",https://clevelandart.org/art/1916.1361.a,https://openaccess-cdn.clevelandart.org/1916.1361.a/1916.1361.a_web.jpg,,wool; woven,excluded_no_andean_evidence,descartar_no_andino,fuera_alcance,"Falso positivo fuera del ambito andino: Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",no,descartado,no_aplica,no_textil,,,,,auto,
Cleveland Museum of Art,95653,1916.1361.b,Curtain (one of a pair),"Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",1600s–1700s,Embroidery,Embroidery,"Silk, linen, metal, and dye",,"One of a pair, this curtain displays colorful silk bands with woven geometric motifs, and cream bands with gold-embroidered plants, birds, six-pointed stars, and the <em>khamsah</em> (خمسة), an open five-fingered hand. Birds and the tree of life were popular good luck or fertility symbols linked to marriage. This curtain’s cosmopolitan motifs would have resonated with Jews, Muslims, and Christians alike, reflecting its creation on multiethnic and multireligious Djerba, an island off the Tunisian coast. There, both goldsmithing and gold thread embroidery were done by Jewish artisans (male and female, respectively). The fine materials suggest this curtain once hung in a wealthy home or for special occasions; interior wall hangings were typically made from rough wool.",https://clevelandart.org/art/1916.1361.b,https://openaccess-cdn.clevelandart.org/1916.1361.b/1916.1361.b_web.jpg,,wool; woven,excluded_no_andean_evidence,descartar_no_andino,fuera_alcance,"Falso positivo fuera del ambito andino: Africa, North Africa, Tunisia, Djerba, Tunisian weaver(s) and embroiderer(s)",no,descartado,no_aplica,no_textil,,,,,auto,
Cleveland Museum of Art,97809,1917.428,Berry Basket,"Northwest Coast, coastal, Salish, late 19th century",1890,Basketry,Basketry,"woven, imbricated",,,https://clevelandart.org/art/1917.428,https://openaccess-cdn.clevelandart.org/1917.428/1917.428_web.jpg,,woven,excluded_no_andean_evidence,descartar_no_andino,fuera_alcance,"Falso positivo fuera del ambito andino: Northwest Coast, coastal, Salish, late 19th century",no,descartado,no_aplica,no_textil,,,,,auto,
