source,source_id,accession_number,title,culture,creation_date,classification,technique,medium,department,description,url,image_url,share_license_status,has_image,andean_terms,textile_terms,curation_status,curation_notes,raw_queries
Cleveland Museum of Art,108043,1925.668,Tunic (Shirt) with Tapestry-woven Yoke,"Central Andes, Northern Central Coast",650–850,Textile,"camelid fiber and cotton; tapestry-weave yoke and chest plaque, plain-weave body",,Textiles,"Likely an item of men’s wear, this tunic exhibits a variety of motifs. The upper panels feature an especially pronounced triangular pattern. The rectangle at the center of the chest displays a repeated frontal figure that stands out for its relatively large size and more rounded style. The surrounding elements are more right-angled, including the small figures in flanking positions and the birds in the borders.",https://clevelandart.org/art/1925.668,https://openaccess-cdn.clevelandart.org/1925.668/1925.668_web.jpg,CC0,True,andes,camelid; cotton; fiber; shirt; textile; tunic; woven,candidate,Pendiente de revision visual.,Andes textile
Cleveland Museum of Art,108044,1925.669,Textile Bag,"Peru, Central Coast, Chancay, Pachacamac, 12th-15th century",c. 1100–1400,Textile,"tabby weave, warp patterned; wool",,Textiles,,https://clevelandart.org/art/1925.669,https://openaccess-cdn.clevelandart.org/1925.669/1925.669_web.jpg,CC0,True,chancay; peru,textile; wool,candidate,Pendiente de revision visual.,Chancay textile; Peru textile
Cleveland Museum of Art,110055,1928.656,Sarong,"Indonesia, Java, North Coast, 19th century",1800s,Textile,"batik and applied gold, cotton",,Textiles,"This sarong, overlaid with gold leaf (or gold dust), would have been worn for high ceremonial occasions and festivals. The gold has been applied only to the parts of the sarong that would show when draped, and on one side only. The delicate, linear design with Chinese phoenixes, butterflies, and leafy tendrils is one of the characteristic styles of batiks made in cities along the north coast of Java. The ""tumpal"" (triangle) design of the wide end border (a pan-Southeast Asian motif that commonly occurs on northern Javanese batiks) seems to have symbolized growth and fertility as well as the sacred mountain, Meru.",https://clevelandart.org/art/1928.656,https://openaccess-cdn.clevelandart.org/1928.656/1928.656_web.jpg,CC0,True,north coast,cotton; textile,candidate,Pendiente de revision visual.,North Coast textile
Cleveland Museum of Art,110569,1929.136,Slendang (Shoulder Cloth),"Indonesia, Java, North Coast, 19th - early 20th century",1800s-early 1900s,Textile,"tabby weave, batik; silk",,Textiles,"Chinese people living in the coastal cities of northern Java made and traded silk batiks like this one. The silk was imported from China, and the motifs were always Chinese. The ""luk wan"" bird, a variation of the Chinese phoenix that occurs on this shoulder cloth, was one of the most common motifs on silk batiks, as is the greenish color of the background. The striped border was meant to simulate fringe even though each end is actually finished with fringe. Silk batiks were made for export, particularly to Bali where they were worn at festivals by wealthy people.",https://clevelandart.org/art/1929.136,https://openaccess-cdn.clevelandart.org/1929.136/1929.136_web.jpg,CC0,True,north coast,cloth; textile,candidate,Pendiente de revision visual.,North Coast textile
Cleveland Museum of Art,114131,1933.392,Fish-Shaped Applique,"Central Andes, Central Coast, Ychsma (Pachacamac) people",1400–1532,Textile,"cotton and camelid fiber, tapestry weave with areas of eccentric weft floats",,Textiles,"This fish-shaped textile was originally stitched with others like it to a mantle, a shawl-like garment that was a staple of Andean clothing. Its partial “X-ray view,” which emphasizes the bony spine, is unique to the style of the Ychsma (<strong><em>yeach</em></strong><em>-mah</em>), who lived on Peru’s central coast. In addition to referencing sources of food, marine subjects may also carry religious associations, as some coastal peoples of the period regarded the sea as a deity.",https://clevelandart.org/art/1933.392,https://openaccess-cdn.clevelandart.org/1933.392/1933.392_web.jpg,CC0,True,andean; andes; peru,camelid; cotton; fiber; garment; mantle; textile,candidate,Pendiente de revision visual.,Andean textile; Andes textile; Peru textile
Cleveland Museum of Art,114132,1933.393,Tie-Dyed Fragment,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",c. 700–1100 A.D.,Textile,"discontinuous warp and weft, tie-dyed; wool",,Textiles,,https://clevelandart.org/art/1933.393,https://openaccess-cdn.clevelandart.org/1933.393/1933.393_web.jpg,CC0,True,peru; south coast; wari,textile; wool,candidate,Pendiente de revision visual.,Peru textile; South Coast textile; Wari textile
Cleveland Museum of Art,119617,1940.469,Inka Khipu (Fiber Recording Device),"Peru, Inca Period, 15th-16th Century",c. 1400–1532,Miscellaneous,"cords, knotted and twisted; cotton and wool",,Textiles,,https://clevelandart.org/art/1940.469,https://openaccess-cdn.clevelandart.org/1940.469/1940.469_web.jpg,CC0,True,inca; peru,cotton; fiber; wool,candidate,Pendiente de revision visual.,Inca textile; Peru textile
Cleveland Museum of Art,119652,1940.494,Painted Wrapping for Mummy,"Peru, Central Coast, Chancay, 12th-15th century",c.1100–1400 A.D.,Textile,"plain cloth, painted; cotton",,Textiles,,https://clevelandart.org/art/1940.494,https://openaccess-cdn.clevelandart.org/1940.494/1940.494_web.jpg,CC0,True,chancay; peru,cloth; cotton; textile,candidate,Pendiente de revision visual.,Andes textile; Chancay textile; Peru textile
Cleveland Museum of Art,119653,1940.495,Feathered Panel,"Andes, 7th-15th century",600–1500,Textile,"feather ""mosaic"": feathers sewed on coarse cotton cloth",,Textiles,,https://clevelandart.org/art/1940.495,https://openaccess-cdn.clevelandart.org/1940.495/1940.495_web.jpg,CC0,True,andes,cloth; cotton; textile,candidate,Pendiente de revision visual.,Andes textile
Cleveland Museum of Art,119654,1940.496,Band,"Peru, Central Coast?, Lima?, Early Horizon?",c. 600–400 BCE,Textile,warp-faced weave: llama wool,,Textiles,,https://clevelandart.org/art/1940.496,https://openaccess-cdn.clevelandart.org/1940.496/1940.496_web.jpg,CC0,True,peru,textile; wool,candidate,Pendiente de revision visual.,Andes textile; Peru textile
Cleveland Museum of Art,119655,1940.497,Fragmentary Mantle,"Peru, South Coast, Ica Valley ?, Inca Culture, 15th-16th century",c. 1400–1532,Textile,"tapestry and fancy twill, brocaded; twill",,Textiles,,https://clevelandart.org/art/1940.497,https://openaccess-cdn.clevelandart.org/1940.497/1940.497_web.jpg,CC0,True,inca; peru; south coast,mantle; textile,candidate,Pendiente de revision visual.,Inca textile; Peru textile; South Coast textile
Cleveland Museum of Art,119656,1940.498,Dress,"Peru, South Highlands or South Coast, Chuquibamba style, 12th-16th century",c. 1100–1532,Textile,camelid fiber; tapestry and complementary-weft weave,,Textiles,,https://clevelandart.org/art/1940.498,https://openaccess-cdn.clevelandart.org/1940.498/1940.498_web.jpg,CC0,True,peru; south coast,camelid; fiber; textile,candidate,Pendiente de revision visual.,Peru textile; South Coast textile
Cleveland Museum of Art,119675,1940.514,Tunic,"Peru, South Coast, Ica Valley, Ocucaje site?, Paracas people",400–200 BCE,Textile,looped camelid fiber,,Textiles,"The striking, large-scale figure shown on this tunic has an elaborate, monkey-like tail as well as head appendages that mark the creature as supernatural. This tunic, a relatively rare type, was made not on a loom but rather by working the yarns into loops with a needle. It is made entirely with camelid fiber, which can readily be dyed in a range of vivid colors. The fiber comes from one of the four camels (camelids) native to the Andes Mountains—the alpaca and llama, both domesticated, and the wild guanaco and vicuña. On the coast, it represents a prestige import.",https://clevelandart.org/art/1940.514,https://openaccess-cdn.clevelandart.org/1940.514/1940.514_web.jpg,CC0,True,andes; paracas; peru; south coast,camelid; fiber; textile; tunic,candidate,Pendiente de revision visual.,Andes textile; Paracas textile; Peru textile; South Coast textile
Cleveland Museum of Art,119676,1940.515,Mantle,"Peru, South Coast, Paracas",c. 600–400 BCE,Textile,embroidery on wool ground,,Textiles,,https://clevelandart.org/art/1940.515,https://openaccess-cdn.clevelandart.org/1940.515/1940.515_web.jpg,CC0,True,paracas; peru; south coast,mantle; textile; wool,candidate,Pendiente de revision visual.,Paracas textile; Peru textile; South Coast textile
Cleveland Museum of Art,119677,1940.516,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style",200–1 BCE,Textile,"cotton and pigment, plain weave",,Textiles,"The Paracas people buried their dead in pear-shaped mummy bundles, created by carefully wrapping the seated human body in layers of garments and other textiles. Sometimes a painted cloth was placed on the outer layer at the top of the bundle, as though it served as the bundle’s face, head, or “mask.” Some cloths were painted with masklike faces, although others—such as this example—feature complete figures, which may be mythological beings with supernatural appendages.",https://clevelandart.org/art/1940.516,https://openaccess-cdn.clevelandart.org/1940.516/1940.516_web.jpg,CC0,True,paracas; peru; south coast,cloth; cotton; textile,candidate,Pendiente de revision visual.,Andean textile; Paracas textile; Peru textile; South Coast textile
Cleveland Museum of Art,119678,1940.517,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style",200 BCE–1 CE,Textile,"plain warp-faced cloth, painted",,Textiles,"The Paracas people buried their dead in pear-shaped mummy bundles, created by carefully wrapping the seated human body in layers of garments and other textiles. Sometimes a painted cloth was placed on the outer layer at the top of the bundle, as though it served as the bundle’s face, head, or “mask.” Some cloths were painted with masklike faces, although others—such as this example—feature complete figures, which may be mythological beings with supernatural appendages.",https://clevelandart.org/art/1940.517,https://openaccess-cdn.clevelandart.org/1940.517/1940.517_web.jpg,CC0,True,paracas; peru; south coast,cloth; textile,candidate,Pendiente de revision visual.,Andean textile; Paracas textile; Peru textile; South Coast textile
Cleveland Museum of Art,119679,1940.518,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",200 BCE–1 CE,Textile,"warp-faced cloth, painted: cotton",,Textiles,"The Paracas people of Peru's South Coast buried their dead in pear-shaped mummy bundles made of a seated human body carefully wrapped in garments and other textiles. Sometimes a painted cloth was placed at the top of the bundle, as though it served as the bundle's face, head, or ""mask."" The cloth was padded on the back so it curved outward like a face, and the tress-like yarns (unwoven warps) at the upper edge were arranged around a solid cotton disk that, in turn, was wrapped with a headband. Some cloths were painted with mask-like faces, and others with full figures, apparently mythical creatures.",https://clevelandart.org/art/1940.518,https://openaccess-cdn.clevelandart.org/1940.518/1940.518_web.jpg,CC0,True,paracas; peru; south coast,cloth; cotton; textile,candidate,Pendiente de revision visual.,Paracas textile; Peru textile; South Coast textile
Cleveland Museum of Art,119680,1940.519,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",200–1 BCE,Textile,"plain warp-faced cloth, painted: cotton",,Textiles,"The Paracas people of Peru's South Coast buried their dead in pear-shaped mummy bundles made of a seated human body carefully wrapped in garments and other textiles. Sometimes a painted cloth was placed at the top of the bundle, as though it served as the bundle's face, head, or ""mask."" The cloth was padded on the back so it curved outward like a face, and the tress-like yarns (unwoven warps) at the upper edge were arranged around a solid cotton disk that, in turn, was wrapped with a headband. Some cloths were painted with mask-like faces, and others with full figures, apparently mythical creatures.",https://clevelandart.org/art/1940.519,https://openaccess-cdn.clevelandart.org/1940.519/1940.519_web.jpg,CC0,True,paracas; peru; south coast,cloth; cotton; textile,candidate,Pendiente de revision visual.,Paracas textile; Peru textile; South Coast textile
Cleveland Museum of Art,119682,1940.520,"Mummy Bundle ""Mask""","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style",200–1 BCE,Textile,"cotton: plain warp-faced cloth, painted",,Textiles,"The Paracas people buried their dead in pear-shaped mummy bundles, created by carefully wrapping the seated human body in layers of garments and other textiles. Sometimes a painted cloth was placed on the outer layer at the top of the bundle, as though it served as the bundle’s face, head, or “mask.” Some cloths were painted with masklike faces, although others—such as this example—feature complete figures, which may be mythological beings with supernatural appendages.",https://clevelandart.org/art/1940.520,https://openaccess-cdn.clevelandart.org/1940.520/1940.520_web.jpg,CC0,True,paracas; peru; south coast,cloth; cotton; textile,candidate,Pendiente de revision visual.,Andean textile; Paracas textile; Peru textile; South Coast textile
