id_objeto,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,material_original,url_objeto,url_imagen,categoria_revision_v2,motivo_revision_v2,decision_sugerida,decision_auditoria,motivo_auditoria,observacion_auditoria
308106,Embroidered Fragment,Paracas,,Textiles-Woven,Textile fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308106,https://images.metmuseum.org/CRDImages/ao/original/33.149.1-67-70-76.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
308100,Embroidered Fragment,Paracas,,Textiles-Woven,Textile fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308100,https://images.metmuseum.org/CRDImages/ao/original/DP18575_33.149.70.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
308109,Embroidered Fragment,Paracas,,Textiles-Woven,Textile fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308109,https://images.metmuseum.org/CRDImages/ao/original/DP18564_33.149.79.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,descartar,fragmento_no_legible,
315049,Mantle,Paracas,,Textiles-Woven,Mantle,Camelid hair,https://www.metmuseum.org/art/collection/search/315049,https://images.metmuseum.org/CRDImages/ao/original/AR446.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,descartar,fragmento_no_legible,
307682,Embroidered Border Fragment,Paracas,,Textiles-Woven,Fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/307682,https://images.metmuseum.org/CRDImages/ao/original/DP170923.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
308057,Embroidered Fragment with Figures,Paracas,,Textiles-Woven,Textile fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308057,https://images.metmuseum.org/CRDImages/ao/original/DP18568.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
308113,Embroidered Fragment with Figure,Paracas,,Textiles-Woven,Textile fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308113,https://images.metmuseum.org/CRDImages/ao/original/DP18528.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
308048,Embroidered Fragment with Figures,Paracas,,Textiles-Woven,Textile fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308048,https://images.metmuseum.org/CRDImages/ao/original/DP18558.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
307852,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/307852,https://images.metmuseum.org/CRDImages/ao/original/DP18481.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308034,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308034,https://images.metmuseum.org/CRDImages/ao/original/DP18571.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
307679,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/307679,https://images.metmuseum.org/CRDImages/ao/original/DP18487.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
307851,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/307851,https://images.metmuseum.org/CRDImages/ao/original/DP18456.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308036,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308036,https://images.metmuseum.org/CRDImages/ao/original/33.149.1-67-70-76.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
307677,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/307677,https://images.metmuseum.org/CRDImages/ao/original/DP18485.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308035,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308035,https://images.metmuseum.org/CRDImages/ao/original/DP18570.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308039,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308039,https://images.metmuseum.org/CRDImages/ao/original/DP18447.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308101,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308101,https://images.metmuseum.org/CRDImages/ao/original/DP18482.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308060,Embroidered Border Fragment,Paracas,,Textiles-Woven,Border Fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308060,https://images.metmuseum.org/CRDImages/ao/original/DP18547.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
308072,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308072,https://images.metmuseum.org/CRDImages/ao/original/DP18535.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308037,Embroidered Border Fragment,Paracas,,Textiles-Woven,Border Fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308037,https://images.metmuseum.org/CRDImages/ao/original/DP18551.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
308068,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308068,https://images.metmuseum.org/CRDImages/ao/original/DP18539.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308098,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308098,https://images.metmuseum.org/CRDImages/ao/original/DP18454.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308040,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308040,https://images.metmuseum.org/CRDImages/ao/original/DP18451.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308070,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308070,https://images.metmuseum.org/CRDImages/ao/original/DP18537.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308058,Embroidered Border Fragment,Paracas,,Textiles-Woven,Border Fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308058,https://images.metmuseum.org/CRDImages/ao/original/DP18549.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
308076,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308076,https://images.metmuseum.org/CRDImages/ao/original/33.149.41.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308053,Embroidered Border Fragment,Paracas,,Textiles-Woven,Border Fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308053,https://images.metmuseum.org/CRDImages/ao/original/DP18553.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
308077,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308077,https://images.metmuseum.org/CRDImages/ao/original/DP18450.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308105,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308105,https://images.metmuseum.org/CRDImages/ao/original/DP18461.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
307683,Embroidered Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/307683,https://images.metmuseum.org/CRDImages/ao/original/33.149.76-94.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308044,Embroidered Border Fragment,Paracas,,Textiles-Woven,Border Fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308044,https://images.metmuseum.org/CRDImages/ao/original/DP18526.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
308042,Embroidered Border Fragment,Paracas,,Textiles-Woven,Border Fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308042,https://images.metmuseum.org/CRDImages/ao/original/TP391.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
307950,Tunic,Nasca,,Textiles-Woven,Tunic,Camelid hair,https://www.metmuseum.org/art/collection/search/307950,https://images.metmuseum.org/CRDImages/ao/original/DP233569.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308285,Panel,Nasca,,Textiles-Woven,Panel,Camelid hair,https://www.metmuseum.org/art/collection/search/308285,https://images.metmuseum.org/CRDImages/ao/original/169777.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
308284,Panel,Nasca,,Textiles-Woven,Panel,Camelid hair,https://www.metmuseum.org/art/collection/search/308284,https://images.metmuseum.org/CRDImages/ao/original/169776.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
307960,Band Fragment,Nasca,,Textiles-Woven,Textile fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/307960,https://images.metmuseum.org/CRDImages/ao/original/29.146.9.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
307972,Band Fragment,Nasca,,Textiles-Woven,Textile fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/307972,https://images.metmuseum.org/CRDImages/ao/original/DP18617.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
308016,Fragment with Figures,Nasca,,Textiles-Woven,Textile fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308016,https://images.metmuseum.org/CRDImages/ao/original/DP18620.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
308017,Embroidered Fragment,Nasca,,Textiles-Woven,Textile fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308017,https://images.metmuseum.org/CRDImages/ao/original/DP18640.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
307841,Fringed Bag,Nasca,,Textiles-Woven,Bag,Camelid hair,https://www.metmuseum.org/art/collection/search/307841,https://images.metmuseum.org/CRDImages/ao/original/DP18589.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
307844,Fringed Bag,Nasca,,Textiles-Woven,Bag,Camelid hair,https://www.metmuseum.org/art/collection/search/307844,https://images.metmuseum.org/CRDImages/ao/original/DP18605.jpg,candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,revisar_para_corpus_principal,pasar_a_corpus_principal,superficie_textil_util,
307968,Band Fragment,Nasca,,Textiles-Woven,Band fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/307968,https://images.metmuseum.org/CRDImages/ao/original/29.146.16.jpg,candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,revisar_para_corpus_principal,pasar_a_corpus_principal,fragmento_textil_util,
